,published,summary,pred_summary
38,2024-02-27 08:00:29+08:00,"Hong Kong-listed firms have seen a notable rise of female representation on boards driven by regulation, but they still lag regional peers when it comes to women in key executive roles, according to MSCI.",negative
39,2024-03-05 17:30:29+08:00,"The country’s second-largest developer has assured investors it has the funds in place to repay its outstanding offshore debts coming due soon, as its shares and bonds tumbled amid rumours about liquidity distress.",negative
40,2024-03-05 19:15:21+08:00,"Blockchain is shaking up the financial sector and, given the popularity of bitcoin exchange-traded funds, regulators will need to step up their game when it comes to consumer protection and oversight, says the president and chief executive of fund manager Franklin Templeton.",negative
41,2024-03-14 08:30:13+08:00,"Hong Kong-listed firms have been involved in US$4 billion worth of take-private deals already in 2024, compared with US$1.2 billion for the whole of last year, with investors often dismayed by poor valuations.",negative
42,2024-03-14 10:16:30+08:00,"AIA Group’s new sales in Hong Kong and mainland China continued to grow in the first two months of the year, indicating strong momentum from last year is carrying over in its two major markets, according to its top boss.",negative
43,2024-03-17 13:30:19+08:00,"The interdisciplinary nature of STEAM (science, technology, engineering, arts, and mathematics) has faced challenges and successes in Hong Kong. Incorporating geospatial awareness into STEAM education is key to preparing young people to lead smart-city development.",neutral
44,2024-03-19 12:00:12+08:00,Students from Hong Kong’s Canossa College reveal what they learned and enjoyed most about ’Macau Unlocked’ historic and cultural educational tour.,positive
45,2024-03-21 19:05:20+08:00,Hong Kong Metropolitan University president Paul Lam says the institution has strong links with industries to help graduates become ‘work-ready’.,negative
46,2024-03-24 14:00:47+08:00,Eligible applicants will have to submit detailed proposals for sites in North Point and Kowloon Tong.,none
47,2024-03-25 08:30:31+08:00,"Parents, students receive minister’s assurance that government will consider financial impact of fee rise.",negative
48,2024-03-25 10:08:32+08:00,,none
49,2024-03-25 11:00:26+08:00,"Schools that cannot attract enough pupils should consider merging, not insist on survival, education minister Christine Choi says.",negative
50,2024-03-27 21:45:28+08:00,Bocom paints resilient picture for year ahead despite posting slower profit growth and warning about challenges from property sector.,negative
51,2024-03-27 21:52:20+08:00,Education Bureau says English section of government-organised Language Proficiency Assessment to be scrapped from next school year.,negative
52,2024-03-28 13:37:23+08:00,"Script provided to teachers to read out on National Security Education Day next month underlines Chinese president’s ideology, merits of new Article 23 law.",negative
53,2024-03-28 20:18:10+08:00,Monetary authority announces a nine-point plan that offers reassurance about access to credit relief amid market rumours of loans being called early.,negative
54,2024-03-29 14:03:45+08:00,Education Bureau and privacy watchdog follow up with St Paul’s Co-educational College over social media post accusing it of monitoring pupils’ after-class activities.,negative
55,2024-03-30 11:00:23+08:00,"HKU says guided tours will be implemented in May to cut down on tourist crowds, with more measures to follow.",negative
56,2024-03-31 09:30:11+08:00,The government’s familiar excuses of political opposition and filibustering no longer apply now that Hong Kong has passed Article 23 legislation. It is time to turn talk of economic growth and new ideas into reality and improve the lives of residents whose trust in the city’s leadership has waned.,negative
57,2024-03-31 15:21:03+08:00,"CEO of Hong Kong Science and Technology Parks Corporation says ‘main obstacle’ for talent is accommodation, with facility ramping up housing scheme for professionals.",negative
58,2024-04-01 09:00:11+08:00,"Australia has exempted Hongkongers in the country from tightened language requirements for graduate work visas, but some worry over new age rules.",negative
59,2024-04-01 17:00:22+08:00,"China is quietly making progress on a new technique to develop advanced chips without the need for EUV systems from Dutch giant ASML, a breakthrough that could potentially thwart US trade sanctions.",negative
60,2024-04-01 18:08:05+08:00,Chinese foreign ministry spokesman Wang Wenbin warns US over possible travel restrictions floated by Secretary of State Antony Blinken.,negative
61,2024-04-01 22:33:00+08:00,"Government appoints 2,999 members to three committees across 18 districts, 466 more than last term.",negative
62,2024-04-01 23:00:10+08:00,"China’s 12 national joint-stock banks reported deep salary cuts last year, while 10 lenders also demanded employees return performance-based bonuses, amid Beijing’s ongoing efforts to reshape the financial industry.",negative
63,2024-04-02 14:30:17+08:00,"‘The time to buy is when everyone hates the market and it’s cheap, which is now the case in Chinese equities,’ especially as there are signs that the country’s economic leaders are preparing stimulus measures, the hedge fund billionaire said in his LinkedIn blog.",negative
64,2024-04-02 19:58:26+08:00,"Basketball star Yung Kam-wah, Arnaldo Ho, son of late casino king Stanley Ho, and Fiona Tong, daughter of Isabella Kau, Miss Hong Kong 1982 runner-up among those appointed.",positive
65,2024-04-03 17:03:01+08:00,"Government spokesman says considering the first two months of 2024 together, the value of retail sales rose ‘modestly’ over a year earlier.",positive
66,2024-04-03 19:56:19+08:00,"Examination authority has rehearsed transporting monitored, safely locked exam papers to and from the mainland.",negative
67,2024-04-03 22:43:05+08:00,"Zheng Yanxiong, director of central government’s liaison office in Hong Kong, is expected to offer key takeaways from last month’s ‘two sessions’ in Beijing.",negative
68,2024-04-04 08:30:11+08:00,Youth workers and doctors urge more resources to help youngsters and warn of developmental problems amid concerns about mental health impact.,positive
69,2024-04-04 11:00:16+08:00,"US Treasury Secretary Janet Yellen will arrive in China on Thursday, and is set to visit the southern city of Guangzhou and capital city of Beijing during her week-long trip.",negative
70,2024-04-05 19:30:16+08:00,"Alibaba chairman Joe Tsai said US chip export restrictions to China have ‘definitely affected’ mainland tech firms, including the e-commerce giant’s cloud computing business.",negative
71,2024-04-06 06:00:21+08:00,"Tackling payment issues is a small but important part of Beijing’s broader efforts to bring down barriers for foreigners in China, with a particular focus on the start of the Canton Fair later this month in Guangzhou.",negative
72,2024-04-06 10:00:18+08:00,"Even in the absence of the buying restrictions, a healthy supply and elevated interest rates mean the city’s infamously expensive house prices are unlikely to return to the kind of breakneck growth seen in the past, analysts say.",negative
73,2024-04-06 18:38:30+08:00,The launch of Blue Coast marks the biggest residential offering since the city government removed property curbs and relaxed its mortgage policies in February.,negative
74,2024-04-07 10:00:23+08:00,"‘Foreign investor appetite could not be stronger for Japan at the moment,’ JLL analyst says.",negative
75,2024-04-07 15:00:11+08:00,"Sales of pre-owned homes in 25 major cities jumped by nearly 25 per cent in January and February, compared with the same period in 2022, as activity is on the rise in top-tier cities, analysts say.",negative
76,2024-04-08 00:00:11+08:00,"[The content of this article has been produced by our advertising partner.]  This April, when Paul Tough officially takes over as the new Principal & CEO of Kellett School, he will bring a wealth of experience to the role, but also the drive to keep making improvements which reflect Hong Kong’s evolving educational landscape.    “I am excited about working with a strong, supportive community to ensure the school’s continued success,” says Tough. “I feel privileged and honoured to become part of that community, which is committed to making a positive and lasting contribution to the lives of students, their families, and broader aspects of society in Hong Kong.”    Prior to this latest appointment, Tough was Principal of The British School in Tokyo and, before that, he held the equivalent role at Discovery Bay International School in Hong Kong, where he became fully familiar with the city, its education system, and the standards expected.     While there, he also learned exactly what it takes to run an independent not-for-profit school which uses the English curriculum. And Kellett is now set to benefit from all that accumulated know-how and experience.   “It is great to be coming back to Hong Kong, which I regard as a second home,” Tough says. “I am doing so because I see joining Kellett as a real opportunity and, for me, the school’s international reputation is a huge draw.”   Originally founded in 1976, Kellett can by now lay a claim to a long and illustrious history as the British International School in Hong Kong. This is based on teaching children from ages 4-18 (Reception to Year 13) and, at all times, emphasising a clear ethos and educational philosophy.   On the campuses in Pok Fu Lam and Kowloon Bay, the present total of around 1,500 students can feel secure, valued, and ready to enjoy the adventure of learning both in the classroom and beyond.    For teaching staff, the aim is to create an environment which is stimulating and challenging, with a view to setting and achieving high…",none
77,2024-04-08 08:00:24+08:00,"The HSBC Global Investment Summit will be the largest such conference in the city, filling the void left by Credit Suisse, which last held its flagship event in March 2023 before its eventual demise.",negative
78,2024-04-08 12:18:47+08:00,"Troubled property developer Shimao Group Holdings is facing a liquidation suit brought by China Construction Bank, the country’s second-largest lender, for a financial obligation amounting to around HK$1.58 billion (US$201.8 million).",negative
79,2024-04-08 15:30:12+08:00,"Hong Kong’s move to scrap long-standing cooling measures in February was a breath of fresh air at a time when other markets are turning inward. The city deserves credit for adopting a contentious policy while Canada, Singapore, Australia and others are making life harder for foreign homebuyers.",negative
80,2024-04-08 19:00:18+08:00,Island’s former president appeals to younger generations to learn the lessons of history.,negative
81,2024-04-08 20:28:53+08:00,Researchers at Hong Kong Shue Yan University stress importance of life direction as some students consider shunning careers to focus on basic needs.,negative
82,2024-04-08 22:51:39+08:00,Undersecretary for Housing Victor Tai argues that it is impractical for government to set rent levels for individual subdivided flats.,negative
83,2024-04-09 10:38:36+08:00,"The 99-room The Opposite House, the group’s first hotel, will close after 16 years to make way for an ‘innovative retail landmark’ in the Taikoo Li Sanlitun area.",negative
84,2024-04-09 12:26:38+08:00,"A wholly-owned unit of Lai Sun Development Company, a Hong Kong property firm, has sold its equity stake in the AIA Central skyscraper for HK$1.42 billion (US$180 million) in a bid to boost its liquidity.",positive
85,2024-04-09 14:48:19+08:00,"City leader says government has ‘clear’ position on the scheme amid calls for withdrawal from politicians, including heavyweight Lo Man-tuen.",negative
86,2024-04-09 15:41:21+08:00,"CCDI slams officials for blind quotas forcing towns, districts to inflate business figures to meet unrealistic targets.",negative
87,2024-04-09 16:10:14+08:00,"[The content of this article has been produced by our advertising partner.]  It is one thing for students at Hong Kong International School (HKIS) to follow an American curriculum but, as importantly, they also receive an American style of education.  That comes from a pedagogic approach that encourages inquiry, student choice, and developing the full range of skills needed to get on in the modern world. And a big part of that is the idea that each student has his or her own style in the way they approach learning and engage with the material being taught.    “It is a combination that lets students move fully and freely between American schools and internationally, and it helps the transition into universities in the US and around the world,” says Ron Roukema, interim head of school at HKIS. “And the framework we use allows latitude in teaching different topics based on abilities and what works best.”  The starting point, when it comes to course content, is the US common core curriculum, which sets clear standards and expectations for each grade. Where appropriate, though, HKIS also incorporates elements from the C3 framework for social studies covering civics, history, geography, economics, and inquiry skills, and from the New Generation Science Standards.  This flexibility makes it possible to promote excellence, explore connections, make classes more experiential, and stay relevant in the context of Hong Kong and Asia.   “Our teachers create a learning environment that replicates situations which are current and meaningful,” says Roukema, noting for example that a literature course for seniors isn’t limited to Shakespeare, but can include stories from Vietnam, China, or around the region. “From kindergarten to Grade 12, the curriculum is aligned to provide the building blocks, concepts and skills needed for a well-rounded education in science, mathematics, liberal arts, coding and much more.”   These days, he points out, the teacher’s role is no longer to be the “sage on stage” who stands at the…",none
88,2024-04-09 19:15:19+08:00,"Treasury Secretary Janet Yellen ended her week-long trip to China on Tuesday, saying the US had been able to ‘move the ball’ on key issues, while analysts said the visit had focused on ‘practical short-term issues’.",negative
89,2024-04-09 22:58:34+08:00,"Zheng Yanxiong, director of central government’s liaison office, says Hong Kong should stick to its ‘superconnector’ role to ensure economic growth.",negative
90,2024-04-10 06:00:28+08:00,China will inspect vital finance and economy-related entities as part of a round of discipline inspections amid Beijing’s focus on a financial revamp.,negative
91,2024-04-10 07:30:15+08:00,"China’s stockbrokers took another pay cut in 2023 as the double whammy of a slumping equities market and a government crackdown on corporate extravagance eroded the incomes of financial workers. Things don’t look much better this year, one fund manager says.",negative
92,2024-04-10 08:30:19+08:00,"‘We want the new generation to really appreciate our Chinese culture, our Chinese history and also the contemporary developments of our country,’ city leader says.",positive
93,2024-04-10 10:04:23+08:00,Victor Dawes says city’s hosting of fourth global conference for International Advocacy Training Council serves as ‘vote of confidence’ in local law profession.,negative
94,2024-04-10 11:59:06+08:00,"Decision marks end to position’s vacancy since July of last year, when former incumbent Liu Guangyuan was transferred to Beijing’s liaison office in Hong Kong.",negative
95,2024-04-10 13:16:32+08:00,"The city’s commercial real estate market recovered partially in the first quarter of 2024 and is gearing up for further stabilisation this year as a rebound in consumption and policy support drive demand for leasing and investment, analysts say.",positive
96,2024-04-10 13:27:04+08:00,"New rules are emerging around use of government vehicles, resource use, unauthorised office printing and bottled water in a push to showcase austerity.",negative
97,2024-04-10 13:51:22+08:00,Ministry of Finance says it is a ‘pity’ to see Fitch Ratings revise the outlook on China’s sovereign debt from stable to negative due to concerns over property and public finance stress.,negative
98,2024-04-10 16:04:24+08:00,"‘Foreign interference’ cannot stop historic trend of ‘family reunion’, Xi Jinping says, as Ma Ying-jeou becomes first serving or former Taiwan president to meet top leadership on the mainland.",negative
99,2024-04-10 17:01:24+08:00,"German businesses operating in China have said they face ‘unfair competition’, complicating the already tense relationship between the two countries in advance of a visit from Chancellor Olaf Scholz.",negative
100,2024-04-10 18:20:54+08:00,"An anti-subsidies investigation into Chinese wind turbine manufacturers by the EU could saddle the bloc’s renewable project developers with high costs and slow down their decarbonisation efforts, analysts say. The impact on Chinese firms could be limited.",negative
101,2024-04-10 18:30:58+08:00,"Amid rising geopolitical tensions, most of the top 30 investors that invested in Chinese unicorns are based within the country.",negative
102,2024-04-10 19:46:36+08:00,More than 50 per cent of subjects offered moved up the rankings in a newly published global league by a Britain-based education information firm.,negative
103,2024-04-10 23:43:26+08:00,NGO monitoring media freedoms says advocacy officer Aleksandra Bielakowska searched and questioned in detention lasting six hours before being deported.,negative
104,2024-04-11 07:00:32+08:00,"Study finds disparity between men and women has grown in China, with researchers seeing the ‘magnitude of the ‘she-cession’, where the Covid-induced economic slowdown disproportionately impacted the female labour force.",negative
105,2024-04-11 13:00:14+08:00,"Chinese Premier Li Qiang is scheduled to visit Australia in the third week of June amid improving relations, with the unofficial import ban on Australian live lobsters set to be lifted, according to sources with knowledge of the issue.",negative
106,2024-04-11 13:45:44+08:00,"China’s managed currency is seen as an anchor for its regional peers, meaning small moves can have an outsize impact.",negative
107,2024-04-11 18:18:17+08:00,"A ‘basic system of professional community workers’ must be built within five years, Communist Party and State Council say in joint notice, as Beijing continues drive to strengthen central control.",negative
108,2024-04-11 19:00:20+08:00,ByteDance has refuted a news report saying the company’s profits rose 60 per cent to US$40 billion last year.,positive
109,2024-04-11 19:13:21+08:00,"Envoys from 49 countries attend event hosted by Xinjiang officials, with many saying they hope to strengthen cooperation under belt and road strategy, as region aims to expand international influence in the face of human rights allegations.",negative
110,2024-04-11 20:00:25+08:00,"Huawei announced new versions of its Luxeed S7 electric sedan and a PC with AI built in, but people are still awaiting its next big smartphone launch since the Mate 60.",negative
111,2024-04-11 21:38:47+08:00,"Hong Kong Metropolitan University, Airport Authority’s international aviation academy to launch course offering commercial pilot licence from September.",positive
112,2024-04-11 21:40:47+08:00,"Lianjia has teamed up with coffee chain operator Manner to open a cafe in one of its outlets in Shanghai, launching a crossover marketing campaign to drive transactions amid lack of homebuying interest.",negative
113,2024-04-11 22:00:21+08:00,The municipal government of the city in eastern Jiangsu province unveiled a three-year plan to attract cross-border e-commerce projects.,positive
114,2024-04-11 22:06:08+08:00,"Yan Pengcheng has been confirmed as one of He’s deputies at the Central Financial and Economic Affairs Commission, a key party body.",negative
115,2024-04-11 23:55:30+08:00,"According to latest projections released by Education Bureau, number of six-year-olds expected to start Primary One will decline from 49,600 this year to 31,500 in 2029.",negative
116,2024-04-12 08:00:18+08:00,"Rents in Singapore’s office market rose in the first three months of the year, shaking off two consecutive quarters of declines as some tenants snapped up limited premium spaces and others renewed their leases instead of relocating owing to cost considerations, according to Colliers.",negative
117,2024-04-12 08:00:24+08:00,Secretary for Justice Paul Lam also says many developing countries are eager to get legal training in Hong Kong.,negative
118,2024-04-12 09:30:12+08:00,"The Education Bureau’s response to rising student suicides has been superficial at best. It must overhaul the system, starting with the homework policy. The government should also set up a student suicide prevention committee.",negative
119,2024-04-12 12:00:13+08:00,"From historic talks in Beijing to adopted twin sisters reuniting after 30 years, here are a few highlights from SCMP’s recent reporting.",positive
120,2024-04-12 13:08:49+08:00,"Attrition rate for NETs fell to 9 per cent in primary schools and 7 per cent in secondary institutions, the lowest since data became available in 2013-14.",negative
121,2024-04-12 13:11:46+08:00,"Shanghai-based developer, facing 61.86 billion yuan (US$8.5 billion) in debts, says it needs more time to consider restructuring plan amid slumping sales and slow asset disposal as the property market crisis grinds on.",negative
122,2024-04-12 15:21:49+08:00,"China’s exports in March were dragged down by a higher base in the same period last year, but a strong recovery in demand in overseas markets is set to lead to ‘robust export growth’ this year, analysts said.",negative
123,2024-04-12 15:32:02+08:00,"Hu Binchen, director of International Cooperation Bureau, and Liu Zhongyi, director of Criminal Investigation Bureau, appointed assistant ministers at China’s Ministry of Public Security.",negative
124,2024-04-12 17:31:11+08:00,A document published by the nation’s cabinet on Friday promises to promote the ‘high-quality’ development of China’s capital market by strengthening supervision and guarding against risks.,negative
125,2024-04-12 19:00:15+08:00,"A recent report has found China has overtaken Germany in terms of certain exports, an elevation of status for the Asian juggernaut but a potential source of tension for already fraught bilateral relations.",negative
126,2024-04-12 20:30:09+08:00,"Spotlight Automotive, BMW’s 50-50 EV venture with mainland Chinese partner Great Wall Motor, is designing new models that it hopes to sell globally.",negative
127,2024-04-12 21:34:45+08:00,Authorities also reveal in letter to lawmakers that 32 students committed suicide last year.,negative
128,2024-04-13 00:00:30+08:00,"China’s export growth fell more than expected in March, but a recovery of overseas markets is expected, while imports also declined last month.",negative
129,2024-04-13 01:03:05+08:00,Christine Choi says ‘everyone can learn a lesson’ after University of Hong Kong council clears vice-chancellor Xiang Zhang of misconduct allegations.,negative
130,2024-04-13 10:00:17+08:00,"Alibaba scales back an ambitious business overhaul plan and bids farewell to a turbulent year, as its founders call on employees to embrace changes.",negative
131,2024-04-13 12:27:50+08:00,Use of new i-Invigilation app suspended after it crashed twice in two days during Diploma of Secondary Education exams due to ‘server jam’.,negative
132,2024-04-13 17:00:21+08:00,"A total of 130, or 70 per cent, of the 184 units on offer were sold on Saturday, according to sales agents.",negative
133,2024-04-13 17:56:45+08:00,"Zheng Yanxiong, director of central government’s liaison office, says Article 23 law safeguarding national security will enable transition from stability to prosperity.",negative
134,2024-04-13 19:30:11+08:00,"Sitonholy, which has been added to the US Entity List, is one of a few ‘elite-level’ Nvidia data centre product solutions providers in China.",negative
135,2024-04-13 21:45:44+08:00,Commissioner’s office of China’s Foreign Ministry in Hong Kong says advisories defame city’s national security laws and tarnish human rights situation in city.,negative
136,2024-04-14 02:34:56+08:00,"At the Harvard College China Forum, participants said existential threats such as global warming cannot be solved unless the two countries move beyond their mutual distrust.",negative
137,2024-04-14 05:30:20+08:00,"The IMF is warning regulators about the systemic risks of the rapidly growing private credit market, a largely opaque sector involving direct lending to corporations",negative
138,2024-04-14 06:00:20+08:00,Analysts say former Taiwanese leader’s VIP visit to mainland could help Beijing amplify appeals for ‘peaceful reunification’ with the island and send well-timed message to Taiwan’s president-elect William Lai Ching-te.,negative
139,2024-04-14 08:00:18+08:00,"Gold markets in China have been inundated with a throng of new buyers, looking to put their money into a commodity which has skyrocketed in value as other investments have lost their lustre.",negative
140,2024-04-14 09:00:22+08:00,"Two school council heads say student withdrawals have been ‘dying down’, with only a handful leaving in the past 1½ years.",negative
141,2024-04-14 10:00:11+08:00,"In Beijing’s Tongming Lake IT City, a group of prominent Chinese firms are leading efforts to become self-sufficient in core technology.",negative
142,2024-04-14 10:00:15+08:00,"Philippine chain Hotel101 Global targets 1 million rooms and a presence in more than 100 countries after signing an agreement to merge with a Hong Kong company, which aims to list on Nasdaq in New York.",negative
143,2024-04-14 11:30:12+08:00,"China is encouraging more property owners to swap their old homes for new ones as a way to rejuvenate the market. Zhengzhou, home to the largest iPhone factory, is among at least 30 other mainland cities to introduce the trade-in scheme.",negative
144,2024-04-14 12:00:27+08:00,City’s first awareness day following implementation of domestic national security law will be held on Monday and is set to be biggest since 2021 launch.,negative
145,2024-04-14 14:04:33+08:00,"China’s banks are removing some of their long-term fixed-income products and cutting rates offered to depositors in an effort to shore up profitability, as challenges including a slumping property sector, mounting local government debt, and slow consumption recovery weigh on bank earnings.",negative
146,2024-04-14 15:30:14+08:00,"As global supply chains are reshaped, countries such as Vietnam and Mexico are becoming attractive manufacturing hubs. Chinese-backed factories in the US might face resistance, but the job growth and knowledge transfer they bring will benefit the American economy.",negative
147,2024-04-14 18:00:23+08:00,Report on state broadcaster CCTV says last year two people working in the rare earths sector were jailed for 11 years or more for stealing state secrets.,negative
148,2024-04-15 09:00:20+08:00,"Hong Kong is building an arsenal to assist the world with raising funds for managing losses from natural disasters, the Insurance Authority said. It is discovering more issuers, investors and data, as well as cultivating its modelling capabilities and talent.",negative
149,2024-04-15 10:08:59+08:00,"Experts say the rise of deepfake technology may pose a significant threat to democracy in 2024, with major elections happening in India and the US.",negative
150,2024-04-15 10:27:23+08:00,"Chief Executive John Lee, also addressing National Security Education Day ceremony, reminds residents to remain vigilant over persistent risks.",negative
151,2024-04-15 13:41:47+08:00,"Embattled China Vanke said it was well-prepared to resolve its liquidity problems and operational difficulties, while denying that travel restrictions were imposed on its key managerial staff.",negative
152,2024-04-15 14:00:35+08:00,"In this week’s issue of the Global Impact newsletter, we look to keep up with the complex and ever-evolving US-China relationship, with a particular focus on Washington’s moves to ban video-sharing app TikTok.",negative
153,2024-04-15 16:30:21+08:00,"While Asia’s property markets have no shortage of stories, some of the most consequential are also among the most overlooked by investors. The strength of Seoul’s office market, more affordable luxury residential property and Japanese investment in Australian property all merit greater attention.",negative
154,2024-04-15 16:33:44+08:00,"Programme broadcast on state television discloses new details, punishments from espionage crimes that rocked the country.",negative
